-62.0826,-3.93736,-58.6063
-62.0156,-4.14303,-58.6195
-61.9936,-4.34862,-58.6584
-62.0421,-4.53876,-58.6778
-62.0053,-4.65688,-58.7429
-62.0198,-4.7443,-58.7174
-62.0849,-4.78037,-58.7074
-62.0849,-4.78037,-58.7074
-62.105,-4.81645,-58.672
-62.105,-4.81645,-58.672
-62.105,-4.81645,-58.672
-62.0599,-4.81645,-58.6465
-61.9696,-4.81645,-58.5955
-61.8537,-4.83176,-58.59
-61.5769,-4.86229,-58.554
-61.2551,-4.89275,-58.4935
-60.8176,-4.93827,-58.4296
-60.1999,-4.96257,-58.3745
-59.6477,-5.02263,-58.3115
-58.9408,-5.04627,-58.2144
-58.1457,-5.04834,-58.1802
-57.2374,-5.06461,-58.1509
-56.3125,-5.04422,-58.1654
-55.2088,-5.02321,-58.0967
-53.9536,-4.96575,-58.0091
-52.5251,-4.88616,-57.9551
-50.9196,-4.80594,-57.8358
-49.2948,-4.71126,-57.6715
-47.6243,-4.58877,-57.3953
-45.8638,-4.46635,-57.1066
-44.1046,-4.34401,-56.846
-42.324,-4.15948,-56.5362
-40.6538,-3.96197,-56.2391
-38.9871,-3.71652,-55.9568
-37.4128,-3.47191,-55.7306
-35.7589,-3.26291,-55.4577
-34.1512,-3.05452,-55.2234
-32.5085,-2.88134,-54.9587
-30.8732,-2.79114,-54.6878
-29.2809,-2.74904,-54.4627
-27.7919,-2.7414,-54.2419
-26.3961,-2.7337,-54.0623
-25.0335,-2.787,-53.9718
-23.6744,-2.79228,-53.8872
-22.2696,-2.79739,-53.8096
-20.772,-2.80233,-53.7322
-19.1748,-2.77268,-53.7001
-17.5558,-2.75132,-53.537
-15.8959,-2.71696,-53.3381
-14.1391,-2.68261,-53.1514
-12.3804,-2.64828,-52.9916
-10.8614,-2.64828,-52.8387
-9.33633,-2.66127,-52.7584
-7.7159,-2.67424,-52.6918
-6.143,-2.68719,-52.6505
-4.42766,-2.70012,-52.625
-2.71414,-2.70012,-52.5721
-1.00002,-2.70012,-52.5446
0.761928,-2.70012,-52.5428
3.42945,-2.73445,-52.5488
6.96429,-2.85901,-52.4857
11.2822,-3.22971,-51.9588
